time,deltat,.header.frame_id,.sat,.iode,.iodc,.sva,.svh,.week,.code,.flag,.toe.time,.toe.sec,.toc.time,.toc.sec,.ttr.time,.ttr.sec,.A,.e,.i0,.OMG0,.omg,.M0,.deln,.OMGd,.idot,.crc,.crs,.cuc,.cus,.cic,.cis,.toes,.fit,.f0,.f1,.f2,.tgd,.Adot,.ndot
2019/05/21/16:45:00.079654,35.4485647678,,26,77,77,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449906,0.0,26559700.5207,0.00373671762645,0.951456224062,1.30355098604,0.172528197692,2.84601853767,4.84127308703e-09,-8.21819946385e-09,2.22509268404e-10,281.5625,109.875,5.74626028538e-06,4.86336648464e-06,-9.31322574615e-08,-2.60770320892e-08,230400.0,4.0,0.00020705582574,9.66338120634e-12,0.0,"(7.450580596923828e-09; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:00.088496,35.4574062824,,20,22,22,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449906,0.0,26560469.9387,0.00440211978275,0.930365851986,-1.93345165008,2.36395429484,-1.49301217816,5.08235455761e-09,-8.19391273793e-09,5.82524264474e-10,197.96875,2.21875,1.58324837685e-07,8.7209045887e-06,-4.842877388e-08,2.04890966415e-08,230400.0,4.0,0.000524869654328,2.27373675443e-13,0.0,"(-8.847564458847046e-09; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:00.093462,35.4623727798,,29,67,67,1,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449906,0.0,26561188.5467,0.00107980973553,0.985602581161,2.44139140859,1.67986859197,1.63388156026,4.11624288661e-09,-8.11069498586e-09,-3.21084803042e-10,351.125,-70.59375,-3.90224158764e-06,2.03028321266e-06,-4.28408384323e-08,3.72529029846e-08,230400.0,4.0,0.000196122098714,-9.43600753089e-12,0.0,"(-9.778887033462524e-09; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:00.098957,35.4678678513,,7,70,70,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449906,0.0,26561162.5759,0.0127131858608,0.955984612368,0.296373779123,-2.46562218448,-1.70858461325,4.44232789793e-09,-7.70282085341e-09,-9.75040614355e-11,182.28125,63.5,3.05660068989e-06,9.89437103271e-06,1.89989805222e-07,-8.38190317154e-08,230400.0,4.0,-2.86707654595e-05,-7.50333128963e-12,0.0,"(-1.1175870895385742e-08; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:09.110224,44.479134798,,83,117,117,107,0,2054,1,0,1558447800,0.0,1558447800,0.0,1558449919,0.0,29600261.0669,0.000497484463267,0.985571621425,0.987314242127,1.008722183,1.74698289639,2.73832834808e-09,-5.35343727787e-09,1.69292766009e-10,187.9375,170.03125,7.98143446445e-06,7.71135091782e-06,-2.04890966415e-08,-1.30385160446e-08,223800.0,0.0,0.00606986362254,-1.97957206183e-11,0.0,"(4.540197551250457e-08; 5.098991096019744e-08; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:10.047293,45.4162032604,,77,119,119,107,390,2054,1,0,1558449000,0.0,1558449000,0.0,1558449919,0.0,27977344.3289,0.166875747498,0.882523513927,2.45690238081,1.51000312315,0.431498981207,4.29803617332e-09,-6.4452684713e-09,1.21433629627e-09,280.375,-74.65625,-6.14859163761e-06,4.00096178055e-06,-8.04662704468e-07,-6.46524131298e-06,225000.0,0.0,-0.000672581605613,-1.39834810398e-11,0.0,"(-3.2596290111541744e-09; -3.958120942115783e-09; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:11.117425,46.4863352776,,83,117,117,107,0,2054,1,0,1558447800,0.0,1558447800,0.0,1558449927,0.0,29600261.0669,0.000497484463267,0.985571621425,0.987314242127,1.008722183,1.74698289639,2.73832834808e-09,-5.35343727787e-09,1.69292766009e-10,187.9375,170.03125,7.98143446445e-06,7.71135091782e-06,-2.04890966415e-08,-1.30385160446e-08,223800.0,0.0,0.00606986362254,-1.97957206183e-11,0.0,"(4.540197551250457e-08; 5.098991096019744e-08; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:12.039371,47.4082818031,,77,119,119,107,390,2054,1,0,1558449000,0.0,1558449000,0.0,1558449927,0.0,27977344.3289,0.166875747498,0.882523513927,2.45690238081,1.51000312315,0.431498981207,4.29803617332e-09,-6.4452684713e-09,1.21433629627e-09,280.375,-74.65625,-6.14859163761e-06,4.00096178055e-06,-8.04662704468e-07,-6.46524131298e-06,225000.0,0.0,-0.000672581605613,-1.39834810398e-11,0.0,"(-3.2596290111541744e-09; -3.958120942115783e-09; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:13.108439,48.4773492813,,83,117,117,107,0,2054,1,0,1558447800,0.0,1558447800,0.0,1558449929,0.0,29600261.0669,0.000497484463267,0.985571621425,0.987314242127,1.008722183,1.74698289639,2.73832834808e-09,-5.35343727787e-09,1.69292766009e-10,187.9375,170.03125,7.98143446445e-06,7.71135091782e-06,-2.04890966415e-08,-1.30385160446e-08,223800.0,0.0,0.00606986362254,-1.97957206183e-11,0.0,"(4.540197551250457e-08; 5.098991096019744e-08; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:14.033468,49.4023787975,,77,119,119,107,390,2054,1,0,1558449000,0.0,1558449000,0.0,1558449929,0.0,27977344.3289,0.166875747498,0.882523513927,2.45690238081,1.51000312315,0.431498981207,4.29803617332e-09,-6.4452684713e-09,1.21433629627e-09,280.375,-74.65625,-6.14859163761e-06,4.00096178055e-06,-8.04662704468e-07,-6.46524131298e-06,225000.0,0.0,-0.000672581605613,-1.39834810398e-11,0.0,"(-3.2596290111541744e-09; -3.958120942115783e-09; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:30.082377,65.4512879848,,21,33,33,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449936,0.0,26561070.9996,0.0245950116077,0.948769263408,-2.91804275212,-1.44244817903,-2.95337021954,4.25124851014e-09,-7.47566853446e-09,-1.25005206969e-11,193.53125,-112.5625,-5.70900738239e-06,9.00588929653e-06,2.88709998131e-07,1.26659870148e-07,230400.0,4.0,-0.000188461039215,7.38964445191e-12,0.0,"(-1.0244548320770264e-08; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:30.082417,65.4513278008,,26,77,77,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449936,0.0,26559700.5207,0.00373671762645,0.951456224062,1.30355098604,0.172528197692,2.84601853767,4.84127308703e-09,-8.21819946385e-09,2.22509268404e-10,281.5625,109.875,5.74626028538e-06,4.86336648464e-06,-9.31322574615e-08,-2.60770320892e-08,230400.0,4.0,0.00020705582574,9.66338120634e-12,0.0,"(7.450580596923828e-09; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:30.087883,65.4567937851,,20,22,22,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449936,0.0,26560469.9387,0.00440211978275,0.930365851986,-1.93345165008,2.36395429484,-1.49301217816,5.08235455761e-09,-8.19391273793e-09,5.82524264474e-10,197.96875,2.21875,1.58324837685e-07,8.7209045887e-06,-4.842877388e-08,2.04890966415e-08,230400.0,4.0,0.000524869654328,2.27373675443e-13,0.0,"(-8.847564458847046e-09; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:30.092945,65.4618554115,,29,67,67,1,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449936,0.0,26561188.5467,0.00107980973553,0.985602581161,2.44139140859,1.67986859197,1.63388156026,4.11624288661e-09,-8.11069498586e-09,-3.21084803042e-10,351.125,-70.59375,-3.90224158764e-06,2.03028321266e-06,-4.28408384323e-08,3.72529029846e-08,230400.0,4.0,0.000196122098714,-9.43600753089e-12,0.0,"(-9.778887033462524e-09; 0.0; 0.0; 0.0)",0.0,0.0
2019/05/21/16:45:30.098330,65.4672403336,,7,70,70,0,0,2054,1,0,1558454400,0.0,1558454400,0.0,1558449936,0.0,26561162.5759,0.0127131858608,0.955984612368,0.296373779123,-2.46562218448,-1.70858461325,4.44232789793e-09,-7.70282085341e-09,-9.75040614355e-11,182.28125,63.5,3.05660068989e-06,9.89437103271e-06,1.89989805222e-07,-8.38190317154e-08,230400.0,4.0,-2.86707654595e-05,-7.50333128963e-12,0.0,"(-1.1175870895385742e-08; 0.0; 0.0; 0.0)",0.0,0.0
