sat, iode, iodc, sva, svh, week, code, flag,toe1, toe2, toc1, toc2, ttr1, ttr2, A, e, i0, OMG0, omg, M0, deln, OMGd, idot, crc, crs, cuc, cus, cic, cis, toes, fit, f0, f1, f2
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048896,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
15,96,96,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048896,0.000000,26560171.563586,0.011225,0.928462,0.518832,0.766188,2.766424,0.000000,-0.000000,0.000000,111.437500,9.500000,0.000000,0.000013,-0.000000,-0.000000,482400.000000,4.000000,-0.000325,0.000000,0.000000
24,40,40,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552048866,0.000000,26560835.119831,0.008218,0.938855,1.608777,0.601829,1.759024,0.000000,-0.000000,0.000000,284.062500,53.593750,0.000003,0.000004,-0.000000,0.000000,482384.000000,4.000000,-0.000063,-0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552048926,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048926,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
15,96,96,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048926,0.000000,26560171.563586,0.011225,0.928462,0.518832,0.766188,2.766424,0.000000,-0.000000,0.000000,111.437500,9.500000,0.000000,0.000013,-0.000000,-0.000000,482400.000000,4.000000,-0.000325,0.000000,0.000000
24,40,40,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552048956,0.000000,26560835.119831,0.008218,0.938855,1.608777,0.601829,1.759024,0.000000,-0.000000,0.000000,284.062500,53.593750,0.000003,0.000004,-0.000000,0.000000,482384.000000,4.000000,-0.000063,-0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552048956,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048896,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048956,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
15,96,96,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048956,0.000000,26560171.563586,0.011225,0.928462,0.518832,0.766188,2.766424,0.000000,-0.000000,0.000000,111.437500,9.500000,0.000000,0.000013,-0.000000,-0.000000,482400.000000,4.000000,-0.000325,0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552048986,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048986,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048986,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
13,62,62,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552048986,0.000000,26560324.555109,0.003680,0.968309,0.732766,1.358758,2.559572,0.000000,-0.000000,0.000000,154.781250,51.125000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,-0.000072,0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552049016,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049016,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049016,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
13,62,62,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049016,0.000000,26560324.555109,0.003680,0.968309,0.732766,1.358758,2.559572,0.000000,-0.000000,0.000000,154.781250,51.125000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,-0.000072,0.000000,0.000000
24,40,40,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552048986,0.000000,26560835.119831,0.008218,0.938855,1.608777,0.601829,1.759024,0.000000,-0.000000,0.000000,284.062500,53.593750,0.000003,0.000004,-0.000000,0.000000,482384.000000,4.000000,-0.000063,-0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552049046,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049046,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049046,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
13,62,62,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049046,0.000000,26560324.555109,0.003680,0.968309,0.732766,1.358758,2.559572,0.000000,-0.000000,0.000000,154.781250,51.125000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,-0.000072,0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049059,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049067,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049069,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
24,40,40,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552049076,0.000000,26560835.119831,0.008218,0.938855,1.608777,0.601829,1.759024,0.000000,-0.000000,0.000000,284.062500,53.593750,0.000003,0.000004,-0.000000,0.000000,482384.000000,4.000000,-0.000063,-0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552049046,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049076,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049076,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
13,62,62,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049076,0.000000,26560324.555109,0.003680,0.968309,0.732766,1.358758,2.559572,0.000000,-0.000000,0.000000,154.781250,51.125000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,-0.000072,0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049089,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049097,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049099,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552049106,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049106,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049106,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049119,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049127,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049129,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
19,46,46,0,0,2043,1,0,1552053584,0.000000,1552053584,0.000000,1552049136,0.000000,26559875.490263,0.009420,0.981842,-2.431807,1.353969,0.118876,0.000000,-0.000000,0.000000,174.593750,57.593750,0.000003,0.000011,-0.000000,0.000000,482384.000000,4.000000,-0.000345,0.000000,0.000000
17,57,57,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049136,0.000000,26560713.150053,0.012922,0.984109,-2.478197,-1.717088,-2.686974,0.000000,-0.000000,0.000000,169.312500,59.625000,0.000003,0.000012,0.000000,-0.000000,482400.000000,4.000000,0.000020,0.000000,0.000000
12,107,107,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049136,0.000000,26560465.593945,0.007537,0.983818,2.772177,1.041106,0.133417,0.000000,-0.000000,-0.000000,229.000000,-61.312500,-0.000003,0.000008,-0.000000,0.000000,482400.000000,4.000000,0.000262,-0.000000,0.000000
15,96,96,0,0,2043,1,0,1552053600,0.000000,1552053600,0.000000,1552049136,0.000000,26560171.563586,0.011225,0.928462,0.518832,0.766188,2.766424,0.000000,-0.000000,0.000000,111.437500,9.500000,0.000000,0.000013,-0.000000,-0.000000,482400.000000,4.000000,-0.000325,0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049149,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049157,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
64,20,20,107,0,2043,1,0,1552044000,0.000000,1552044000,0.000000,1552049159,0.000000,29600448.665233,0.000034,0.953456,0.251489,-2.111099,-2.338395,0.000000,-0.000000,-0.000000,33.968750,-70.156250,-0.000003,0.000014,-0.000000,-0.000000,472800.000000,0.000000,0.000095,-0.000000,0.000000
